card_id,name,supertype,subtype_primary,subtypes_all,type_primary,types_all,hp,evolves_from,rarity,artist,regulation_mark,national_pokedex_first,converted_retreat_cost,set_id,set_name,set_series,set_release_date,set_total,set_printed_total,tcgplayer_updated_at,price_usd,price_kind,cardmarket_avg_sell_eur,cardmarket_trend_eur,release_year
base1-29,Haunter,Pokémon,Stage 1,Stage 1,Psychic,Psychic,60.0,Gastly,Uncommon,Keiji Kinebuchi,Unknown,93.0,1.0,base1,Base,Base,1999-01-09,102,102,2026/03/26,2.02,normal,18.43,32.14,1999
base1-30,Ivysaur,Pokémon,Stage 1,Stage 1,Grass,Grass,60.0,Bulbasaur,Uncommon,Ken Sugimori,Unknown,2.0,1.0,base1,Base,Base,1999-01-09,102,102,2026/03/26,3.24,normal,4.99,8.99,1999
base1-31,Jynx,Pokémon,Basic,Basic,Psychic,Psychic,70.0,,Uncommon,Ken Sugimori,Unknown,124.0,2.0,base1,Base,Base,1999-01-09,102,102,2026/03/26,0.99,normal,2.59,1.69,1999
base1-32,Kadabra,Pokémon,Stage 1,Stage 1,Psychic,Psychic,60.0,Abra,Uncommon,Ken Sugimori,Unknown,64.0,3.0,base1,Base,Base,1999-01-09,102,102,2026/03/26,1.78,normal,22.87,24.24,1999
base1-33,Kakuna,Pokémon,Stage 1,Stage 1,Grass,Grass,80.0,Weedle,Uncommon,Keiji Kinebuchi,Unknown,14.0,2.0,base1,Base,Base,1999-01-09,102,102,2026/03/26,1.36,normal,6.05,13.08,1999
base1-34,Machoke,Pokémon,Stage 1,Stage 1,Fighting,Fighting,80.0,Machop,Uncommon,Ken Sugimori,Unknown,67.0,3.0,base1,Base,Base,1999-01-09,102,102,2026/03/26,1.05,normal,1.29,4.02,1999
base1-35,Magikarp,Pokémon,Basic,Basic,Water,Water,30.0,,Uncommon,Mitsuhiro Arita,Unknown,129.0,1.0,base1,Base,Base,1999-01-09,102,102,2026/03/26,3.39,normal,2.79,4.82,1999
base1-36,Magmar,Pokémon,Basic,Basic,Fire,Fire,50.0,,Uncommon,Ken Sugimori,Unknown,126.0,2.0,base1,Base,Base,1999-01-09,102,102,2026/03/26,2.37,normal,8.63,26.31,1999
base1-37,Nidorino,Pokémon,Stage 1,Stage 1,Grass,Grass,60.0,Nidoran ♂,Uncommon,Mitsuhiro Arita,Unknown,33.0,1.0,base1,Base,Base,1999-01-09,102,102,2026/03/26,2.02,normal,3.1,4.11,1999
base1-38,Poliwhirl,Pokémon,Stage 1,Stage 1,Water,Water,60.0,Poliwag,Uncommon,Ken Sugimori,Unknown,61.0,1.0,base1,Base,Base,1999-01-09,102,102,2026/03/26,1.27,normal,2.82,2.33,1999
base1-39,Porygon,Pokémon,Basic,Basic,Colorless,Colorless,30.0,,Uncommon,Tomoaki Imakuni,Unknown,137.0,1.0,base1,Base,Base,1999-01-09,102,102,2026/03/26,1.66,normal,9.96,14.43,1999
base1-40,Raticate,Pokémon,Stage 1,Stage 1,Colorless,Colorless,60.0,Rattata,Uncommon,Ken Sugimori,Unknown,20.0,1.0,base1,Base,Base,1999-01-09,102,102,2026/03/26,2.16,normal,40.64,36.95,1999
base1-41,Seel,Pokémon,Basic,Basic,Water,Water,60.0,,Uncommon,Ken Sugimori,Unknown,86.0,1.0,base1,Base,Base,1999-01-09,102,102,2026/03/26,1.29,normal,2.69,0.94,1999
base1-42,Wartortle,Pokémon,Stage 1,Stage 1,Water,Water,70.0,Squirtle,Uncommon,Ken Sugimori,Unknown,8.0,1.0,base1,Base,Base,1999-01-09,102,102,2026/03/26,3.85,normal,10.4,6.08,1999
base1-43,Abra,Pokémon,Basic,Basic,Psychic,Psychic,30.0,,Common,Mitsuhiro Arita,Unknown,63.0,,base1,Base,Base,1999-01-09,102,102,2026/03/26,1.53,normal,11.87,20.68,1999
base1-44,Bulbasaur,Pokémon,Basic,Basic,Grass,Grass,40.0,,Common,Mitsuhiro Arita,Unknown,1.0,1.0,base1,Base,Base,1999-01-09,102,102,2026/03/26,2.4,normal,3.84,3.75,1999
base1-45,Caterpie,Pokémon,Basic,Basic,Grass,Grass,40.0,,Common,Ken Sugimori,Unknown,10.0,1.0,base1,Base,Base,1999-01-09,102,102,2026/03/26,1.22,normal,2.6,1.85,1999
base1-46,Charmander,Pokémon,Basic,Basic,Fire,Fire,50.0,,Common,Mitsuhiro Arita,Unknown,4.0,1.0,base1,Base,Base,1999-01-09,102,102,2026/03/26,2.1,normal,12.88,18.26,1999
base1-47,Diglett,Pokémon,Basic,Basic,Fighting,Fighting,30.0,,Common,Keiji Kinebuchi,Unknown,50.0,,base1,Base,Base,1999-01-09,102,102,2026/03/26,0.77,normal,3.1,11.38,1999
base1-48,Doduo,Pokémon,Basic,Basic,Colorless,Colorless,50.0,,Common,Mitsuhiro Arita,Unknown,84.0,,base1,Base,Base,1999-01-09,102,102,2026/03/26,1.46,normal,1.44,1.11,1999
base1-49,Drowzee,Pokémon,Basic,Basic,Psychic,Psychic,50.0,,Common,Ken Sugimori,Unknown,96.0,1.0,base1,Base,Base,1999-01-09,102,102,2026/03/26,0.68,normal,8.24,15.87,1999
base1-50,Gastly,Pokémon,Basic,Basic,Psychic,Psychic,30.0,,Common,Keiji Kinebuchi,Unknown,92.0,,base1,Base,Base,1999-01-09,102,102,2026/03/26,0.84,normal,12.39,15.05,1999
base1-51,Koffing,Pokémon,Basic,Basic,Grass,Grass,50.0,,Common,Mitsuhiro Arita,Unknown,109.0,1.0,base1,Base,Base,1999-01-09,102,102,2026/03/26,0.69,normal,0.88,0.93,1999
base1-52,Machop,Pokémon,Basic,Basic,Fighting,Fighting,50.0,,Common,Mitsuhiro Arita,Unknown,66.0,1.0,base1,Base,Base,1999-01-09,102,102,2026/03/26,0.47,normal,0.77,0.85,1999
base1-53,Magnemite,Pokémon,Basic,Basic,Lightning,Lightning,40.0,,Common,Keiji Kinebuchi,Unknown,81.0,1.0,base1,Base,Base,1999-01-09,102,102,2026/03/26,0.78,normal,2.61,7.46,1999
base1-54,Metapod,Pokémon,Stage 1,Stage 1,Grass,Grass,70.0,Caterpie,Common,Ken Sugimori,Unknown,11.0,2.0,base1,Base,Base,1999-01-09,102,102,2026/03/26,0.9,normal,6.0,5.76,1999
base1-55,Nidoran ♂,Pokémon,Basic,Basic,Grass,Grass,40.0,,Common,Ken Sugimori,Unknown,32.0,1.0,base1,Base,Base,1999-01-09,102,102,2026/03/26,0.71,normal,1.02,1.56,1999
base1-56,Onix,Pokémon,Basic,Basic,Fighting,Fighting,90.0,,Common,Ken Sugimori,Unknown,95.0,3.0,base1,Base,Base,1999-01-09,102,102,2026/03/26,0.92,normal,1.24,0.63,1999
base1-57,Pidgey,Pokémon,Basic,Basic,Colorless,Colorless,40.0,,Common,Ken Sugimori,Unknown,16.0,1.0,base1,Base,Base,1999-01-09,102,102,2026/03/26,1.33,normal,4.13,11.22,1999
base1-58,Pikachu,Pokémon,Basic,Basic,Lightning,Lightning,40.0,,Common,Mitsuhiro Arita,Unknown,25.0,1.0,base1,Base,Base,1999-01-09,102,102,2026/03/26,4.71,normal,20.0,9.85,1999
base1-59,Poliwag,Pokémon,Basic,Basic,Water,Water,40.0,,Common,Ken Sugimori,Unknown,60.0,1.0,base1,Base,Base,1999-01-09,102,102,2026/03/26,0.76,normal,3.82,20.73,1999
base1-60,Ponyta,Pokémon,Basic,Basic,Fire,Fire,40.0,,Common,Ken Sugimori,Unknown,77.0,1.0,base1,Base,Base,1999-01-09,102,102,2026/03/26,0.43,normal,11.91,6.12,1999
base1-61,Rattata,Pokémon,Basic,Basic,Colorless,Colorless,30.0,,Common,Mitsuhiro Arita,Unknown,19.0,,base1,Base,Base,1999-01-09,102,102,2026/03/26,0.79,normal,4.08,5.77,1999
base1-62,Sandshrew,Pokémon,Basic,Basic,Fighting,Fighting,40.0,,Common,Ken Sugimori,Unknown,27.0,1.0,base1,Base,Base,1999-01-09,102,102,2026/03/26,0.8,normal,1.61,3.58,1999
base1-63,Squirtle,Pokémon,Basic,Basic,Water,Water,40.0,,Common,Mitsuhiro Arita,Unknown,7.0,1.0,base1,Base,Base,1999-01-09,102,102,2026/03/26,6.34,normal,6.41,9.79,1999
base1-64,Starmie,Pokémon,Stage 1,Stage 1,Water,Water,60.0,Staryu,Common,Keiji Kinebuchi,Unknown,121.0,1.0,base1,Base,Base,1999-01-09,102,102,2026/03/26,0.75,normal,2.28,2.9,1999
base1-65,Staryu,Pokémon,Basic,Basic,Water,Water,40.0,,Common,Keiji Kinebuchi,Unknown,120.0,1.0,base1,Base,Base,1999-01-09,102,102,2026/03/26,0.64,normal,0.74,0.99,1999
base1-66,Tangela,Pokémon,Basic,Basic,Grass,Grass,50.0,,Common,Mitsuhiro Arita,Unknown,114.0,2.0,base1,Base,Base,1999-01-09,102,102,2026/03/26,0.8,normal,9.63,5.85,1999
base1-67,Voltorb,Pokémon,Basic,Basic,Lightning,Lightning,40.0,,Common,Keiji Kinebuchi,Unknown,100.0,1.0,base1,Base,Base,1999-01-09,102,102,2026/03/26,3.8,normal,3.15,3.99,1999
base1-68,Vulpix,Pokémon,Basic,Basic,Fire,Fire,50.0,,Common,Ken Sugimori,Unknown,37.0,1.0,base1,Base,Base,1999-01-09,102,102,2026/03/26,0.73,normal,20.65,14.1,1999
base1-69,Weedle,Pokémon,Basic,Basic,Grass,Grass,40.0,,Common,Mitsuhiro Arita,Unknown,13.0,1.0,base1,Base,Base,1999-01-09,102,102,2026/03/26,0.6,normal,1.23,2.4,1999
base1-70,Clefairy Doll,Trainer,Unknown,,Unknown,,10.0,,Rare,Keiji Kinebuchi,Unknown,,,base1,Base,Base,1999-01-09,102,102,2026/03/26,6.74,normal,7.33,6.1,1999
base1-71,Computer Search,Trainer,Unknown,,Unknown,,,,Rare,Keiji Kinebuchi,Unknown,,,base1,Base,Base,1999-01-09,102,102,2026/03/26,4.6,normal,13.95,18.57,1999
base1-72,Devolution Spray,Trainer,Unknown,,Unknown,,,,Rare,Keiji Kinebuchi,Unknown,,,base1,Base,Base,1999-01-09,102,102,2026/03/26,5.26,normal,6.18,5.98,1999
base1-73,Impostor Professor Oak,Trainer,Unknown,,Unknown,,,,Rare,Ken Sugimori,Unknown,,,base1,Base,Base,1999-01-09,102,102,2026/03/26,5.47,normal,19.99,32.76,1999
base1-74,Item Finder,Trainer,Unknown,,Unknown,,,,Rare,Keiji Kinebuchi,Unknown,,,base1,Base,Base,1999-01-09,102,102,2026/03/26,8.85,normal,8.34,8.36,1999
base1-75,Lass,Trainer,Unknown,,Unknown,,,,Rare,Ken Sugimori,Unknown,,,base1,Base,Base,1999-01-09,102,102,2026/03/26,3.27,normal,9.34,9.39,1999
base1-76,Pokémon Breeder,Trainer,Unknown,,Unknown,,,,Rare,Ken Sugimori,Unknown,,,base1,Base,Base,1999-01-09,102,102,2026/03/26,7.31,normal,8.33,8.88,1999
base1-77,Pokémon Trader,Trainer,Unknown,,Unknown,,,,Rare,Ken Sugimori,Unknown,,,base1,Base,Base,1999-01-09,102,102,2026/03/26,6.22,normal,23.32,24.06,1999
base1-78,Scoop Up,Trainer,Unknown,,Unknown,,,,Rare,Keiji Kinebuchi,Unknown,,,base1,Base,Base,1999-01-09,102,102,2026/03/26,8.56,normal,16.99,26.98,1999
base1-79,Super Energy Removal,Trainer,Unknown,,Unknown,,,,Rare,Keiji Kinebuchi,Unknown,,,base1,Base,Base,1999-01-09,102,102,2026/03/26,4.74,normal,2.99,2.7,1999
base1-80,Defender,Trainer,Unknown,,Unknown,,,,Uncommon,Keiji Kinebuchi,Unknown,,,base1,Base,Base,1999-01-09,102,102,2026/03/26,1.5,normal,5.25,11.49,1999
base1-81,Energy Retrieval,Trainer,Unknown,,Unknown,,,,Uncommon,Keiji Kinebuchi,Unknown,,,base1,Base,Base,1999-01-09,102,102,2026/03/26,0.61,normal,0.99,1.76,1999
base1-82,Full Heal,Trainer,Unknown,,Unknown,,,,Uncommon,Keiji Kinebuchi,Unknown,,,base1,Base,Base,1999-01-09,102,102,2026/03/26,2.08,normal,5.8,12.13,1999
base1-83,Maintenance,Trainer,Unknown,,Unknown,,,,Uncommon,Keiji Kinebuchi,Unknown,,,base1,Base,Base,1999-01-09,102,102,2026/03/26,2.63,normal,3.23,2.61,1999
base1-84,PlusPower,Trainer,Unknown,,Unknown,,,,Uncommon,Keiji Kinebuchi,Unknown,,,base1,Base,Base,1999-01-09,102,102,2026/03/26,0.77,normal,3.31,7.46,1999
base1-85,Pokémon Center,Trainer,Unknown,,Unknown,,,,Uncommon,Keiji Kinebuchi,Unknown,,,base1,Base,Base,1999-01-09,102,102,2026/03/26,1.63,normal,4.31,10.53,1999
base1-86,Pokémon Flute,Trainer,Unknown,,Unknown,,,,Uncommon,Keiji Kinebuchi,Unknown,,,base1,Base,Base,1999-01-09,102,102,2026/03/26,3.1,normal,3.08,2.99,1999
base1-87,Pokédex,Trainer,Unknown,,Unknown,,,,Uncommon,Keiji Kinebuchi,Unknown,,,base1,Base,Base,1999-01-09,102,102,2026/03/26,0.64,normal,0.88,0.7,1999
base1-88,Professor Oak,Trainer,Unknown,,Unknown,,,,Uncommon,Ken Sugimori,Unknown,,,base1,Base,Base,1999-01-09,102,102,2026/03/26,1.4,normal,1.18,1.05,1999
base1-89,Revive,Trainer,Unknown,,Unknown,,,,Uncommon,Keiji Kinebuchi,Unknown,,,base1,Base,Base,1999-01-09,102,102,2026/03/26,1.97,normal,17.45,17.95,1999
base1-90,Super Potion,Trainer,Unknown,,Unknown,,,,Uncommon,Keiji Kinebuchi,Unknown,,,base1,Base,Base,1999-01-09,102,102,2026/03/26,0.37,normal,0.5,0.38,1999
base1-91,Bill,Trainer,Unknown,,Unknown,,,,Common,Ken Sugimori,Unknown,,,base1,Base,Base,1999-01-09,102,102,2026/03/26,0.33,normal,2.79,3.63,1999
base1-92,Energy Removal,Trainer,Unknown,,Unknown,,,,Common,Keiji Kinebuchi,Unknown,,,base1,Base,Base,1999-01-09,102,102,2026/03/26,0.46,normal,1.82,5.38,1999
base1-93,Gust of Wind,Trainer,Unknown,,Unknown,,,,Common,Keiji Kinebuchi,Unknown,,,base1,Base,Base,1999-01-09,102,102,2026/03/26,0.37,normal,1.47,3.17,1999
base1-94,Potion,Trainer,Unknown,,Unknown,,,,Common,Keiji Kinebuchi,Unknown,,,base1,Base,Base,1999-01-09,102,102,2026/03/26,0.24,normal,0.26,0.35,1999
base1-95,Switch,Trainer,Unknown,,Unknown,,,,Common,Keiji Kinebuchi,Unknown,,,base1,Base,Base,1999-01-09,102,102,2026/03/26,0.36,normal,0.42,0.1,1999
base1-96,Double Colorless Energy,Energy,Special,Special,Unknown,,,,Uncommon,Keiji Kinebuchi,Unknown,,,base1,Base,Base,1999-01-09,102,102,2026/03/26,5.85,normal,12.49,23.45,1999
base1-97,Fighting Energy,Energy,Basic,Basic,Unknown,,,,Unknown,Keiji Kinebuchi,Unknown,,,base1,Base,Base,1999-01-09,102,102,2026/03/26,0.36,normal,0.34,0.25,1999
base1-98,Fire Energy,Energy,Basic,Basic,Unknown,,,,Unknown,Keiji Kinebuchi,Unknown,,,base1,Base,Base,1999-01-09,102,102,2026/03/26,0.27,normal,1.26,2.35,1999
base1-99,Grass Energy,Energy,Basic,Basic,Unknown,,,,Unknown,Keiji Kinebuchi,Unknown,,,base1,Base,Base,1999-01-09,102,102,2026/03/26,0.34,normal,0.25,0.23,1999
base1-100,Lightning Energy,Energy,Basic,Basic,Unknown,,,,Unknown,Keiji Kinebuchi,Unknown,,,base1,Base,Base,1999-01-09,102,102,2026/03/26,0.53,normal,3.58,3.06,1999
base1-101,Psychic Energy,Energy,Basic,Basic,Unknown,,,,Unknown,Keiji Kinebuchi,Unknown,,,base1,Base,Base,1999-01-09,102,102,2026/03/26,0.55,normal,0.37,0.28,1999
base1-102,Water Energy,Energy,Basic,Basic,Unknown,,,,Unknown,Keiji Kinebuchi,Unknown,,,base1,Base,Base,1999-01-09,102,102,2026/03/26,0.47,normal,0.24,0.35,1999
base2-1,Clefable,Pokémon,Stage 1,Stage 1,Colorless,Colorless,70.0,Clefairy,Rare Holo,Mitsuhiro Arita,Unknown,36.0,2.0,base2,Jungle,Base,1999-06-16,64,64,2026/03/26,80.48,1stEditionHolofoil,0.0,342.35,1999
base2-2,Electrode,Pokémon,Stage 1,Stage 1,Lightning,Lightning,90.0,Voltorb,Rare Holo,Mitsuhiro Arita,Unknown,101.0,1.0,base2,Jungle,Base,1999-06-16,64,64,2026/03/26,52.15,1stEditionHolofoil,28.63,25.98,1999
base2-3,Flareon,Pokémon,Stage 1,Stage 1,Fire,Fire,70.0,Eevee,Rare Holo,Kagemaru Himeno,Unknown,136.0,1.0,base2,Jungle,Base,1999-06-16,64,64,2026/03/26,163.71,1stEditionHolofoil,55.98,30.99,1999
base2-4,Jolteon,Pokémon,Stage 1,Stage 1,Lightning,Lightning,70.0,Eevee,Rare Holo,Kagemaru Himeno,Unknown,135.0,1.0,base2,Jungle,Base,1999-06-16,64,64,2026/03/26,168.81,1stEditionHolofoil,54.78,38.86,1999
base2-5,Kangaskhan,Pokémon,Basic,Basic,Colorless,Colorless,90.0,,Rare Holo,Mitsuhiro Arita,Unknown,115.0,3.0,base2,Jungle,Base,1999-06-16,64,64,2026/03/26,74.55,1stEditionHolofoil,8.11,6.09,1999
base2-6,Mr. Mime,Pokémon,Basic,Basic,Psychic,Psychic,40.0,,Rare Holo,Ken Sugimori,Unknown,122.0,1.0,base2,Jungle,Base,1999-06-16,64,64,2026/03/26,85.31,1stEditionHolofoil,26.18,22.87,1999
base2-7,Nidoqueen,Pokémon,Stage 2,Stage 2,Grass,Grass,90.0,Nidorina,Rare Holo,Ken Sugimori,Unknown,31.0,3.0,base2,Jungle,Base,1999-06-16,64,64,2026/03/26,94.23,1stEditionHolofoil,30.32,37.56,1999
base2-8,Pidgeot,Pokémon,Stage 2,Stage 2,Colorless,Colorless,80.0,Pidgeotto,Rare Holo,Kagemaru Himeno,Unknown,18.0,,base2,Jungle,Base,1999-06-16,64,64,2026/03/26,128.77,1stEditionHolofoil,35.8,30.67,1999
base2-9,Pinsir,Pokémon,Basic,Basic,Grass,Grass,60.0,,Rare Holo,Kagemaru Himeno,Unknown,127.0,1.0,base2,Jungle,Base,1999-06-16,64,64,2026/03/26,85.53,1stEditionHolofoil,23.02,17.6,1999
base2-10,Scyther,Pokémon,Basic,Basic,Grass,Grass,70.0,,Rare Holo,Ken Sugimori,Unknown,123.0,,base2,Jungle,Base,1999-06-16,64,64,2026/03/26,115.12,1stEditionHolofoil,28.03,62.66,1999
base2-11,Snorlax,Pokémon,Basic,Basic,Colorless,Colorless,90.0,,Rare Holo,Ken Sugimori,Unknown,143.0,4.0,base2,Jungle,Base,1999-06-16,64,64,2026/03/26,290.51,1stEditionHolofoil,188.67,58.58,1999
base2-12,Vaporeon,Pokémon,Stage 1,Stage 1,Water,Water,80.0,Eevee,Rare Holo,Kagemaru Himeno,Unknown,134.0,1.0,base2,Jungle,Base,1999-06-16,64,64,2026/03/26,239.19,1stEditionHolofoil,11.88,9.92,1999
base2-13,Venomoth,Pokémon,Stage 1,Stage 1,Grass,Grass,70.0,Venonat,Rare Holo,Ken Sugimori,Unknown,49.0,,base2,Jungle,Base,1999-06-16,64,64,2026/03/26,77.32,1stEditionHolofoil,23.37,22.15,1999
base2-14,Victreebel,Pokémon,Stage 2,Stage 2,Grass,Grass,80.0,Weepinbell,Rare Holo,Ken Sugimori,Unknown,71.0,2.0,base2,Jungle,Base,1999-06-16,64,64,2026/03/26,93.47,1stEditionHolofoil,22.23,39.29,1999
base2-15,Vileplume,Pokémon,Stage 2,Stage 2,Grass,Grass,80.0,Gloom,Rare Holo,Keiji Kinebuchi,Unknown,45.0,2.0,base2,Jungle,Base,1999-06-16,64,64,2026/03/26,85.0,1stEditionHolofoil,23.56,18.61,1999
base2-16,Wigglytuff,Pokémon,Stage 1,Stage 1,Colorless,Colorless,80.0,Jigglypuff,Rare Holo,Mitsuhiro Arita,Unknown,40.0,2.0,base2,Jungle,Base,1999-06-16,64,64,2026/03/26,74.67,1stEditionHolofoil,27.95,23.53,1999
base2-17,Clefable,Pokémon,Stage 1,Stage 1,Colorless,Colorless,70.0,Clefairy,Rare,Mitsuhiro Arita,Unknown,36.0,2.0,base2,Jungle,Base,1999-06-16,64,64,2026/03/26,,,4.94,8.02,1999
base2-18,Electrode,Pokémon,Stage 1,Stage 1,Lightning,Lightning,90.0,Voltorb,Rare,Mitsuhiro Arita,Unknown,101.0,1.0,base2,Jungle,Base,1999-06-16,64,64,2026/03/26,,,5.23,8.47,1999
